"","Accession","geneSymbol","entrezID","GS.ChemoRes"
"1","NM_000417.1","CHAD","1101",-0.327002164075565
"2","NM_004131.3","ERCC2","2068",-0.278009917661631
"3","NM_004049.2","CACNA1C","775",-0.277428903427254
"4","NM_003177.3","EPOR","2057",-0.274705887722402
"5","NM_002649.2","NFKBIZ","64332",-0.248260040697636
"6","NM_003745.1","CDKN2B","1030",-0.233316808031808
"7","NM_000565.2","KIT","3815",-0.221874637329562
"8","NM_000889.1","MMP7","4316",-0.220630333338112
"9","NM_212535.1","FOSL1","8061",-0.213915180222013
"10","NM_001838.2","ERCC3","2071",-0.20602020333274
"11","NM_001250.4","CASP12","100506742",-0.204129703185205
"12","NM_182907.1","FZD2","2535",-0.198320473469199
"13","NM_002661.2","SMAD3","4088",-0.19746699467545
"14","NM_006290.2","CDC25C","995",-0.190667119708836
"15","NM_002185.2","EPO","2056",-0.189907711889676
"16","NM_004048.2","CCNO","10309",-0.187880850641088
"17","NM_001142633.1","SHC1","6464",-0.176001839305697
"18","NM_000878.2","IL1R1","3554",-0.156044781870932
"19","NM_005026.3","NOS3","4846",-0.152154537780707
"20","NM_000215.2","FANCG","2189",-0.141854680963848
"21","NM_182962.1","H3F3C","440093",-0.133185672640705
"22","NM_003884.3","BCL2","596",-0.126399538817135
"23","NM_002872.3","PCK1","5105",-0.126269077122889
"24","NM_003151.2","GZMB","3002",-0.108183566784102
"25","NM_001770.4","EP300","2033",-0.103988995697935
